title,price,rating,reviews,availability
PlayStation 4 500GB Console (Renewed),,4.5 out of 5 stars,"1,341 ratings",Only 1 left in stock - order soon.
PlayStation 4 Slim 1TB Console - Black (Renewed),,4.5 out of 5 stars,"1,726 ratings",Only 12 left in stock - order soon.
"Sony PlayStation 4 Pro w/ Accessories, 1TB HDD, CUH-7215B - Jet Black (Renewed)",,4.5 out of 5 stars,"1,009 ratings",Only 4 left in stock - order soon.
Sony PlayStation 4 500GB Premium Bundle (Renewed),,4.5 out of 5 stars,17 ratings,Only 9 left in stock - order soon.
Sony PlayStation 4 Slim Limited Edition 1TB Gaming Console (Renewed),,4.5 out of 5 stars,"1,476 ratings",Only 4 left in stock - order soon.
PlayStation 4 Console - 1TB Slim Edition (Renewed),,4.5 out of 5 stars,90 ratings,Only 1 left in stock - order soon.
"Playstation SONY 4, 500GB Slim System [CUH-2215AB01], Black, 3003347 (Renewed)",,4.5 out of 5 stars,469 ratings,Only 1 left in stock - order soon.
Sony Playstation PS4 1TB Black Console,,4.7 out of 5 stars,"1,539 ratings",In Stock
PlayStation®4 Console – Call of Duty® Modern Warfare II Bundle,,4.5 out of 5 stars,110 ratings,In Stock
RPlay Play-Station 4 PS4 1TB Slim Edition Jet Black With 1 Wireless Controller,,4.5 out of 5 stars,67 ratings,Only 4 left in stock - order soon.
"Playstation Sony 4, 500GB Slim System [CUH-2215AB01], Black, 3003347",,4.4 out of 5 stars,363 ratings,Only 4 left in stock - order soon.
"Newest Playstation 4 1TB Slim PS4 Gaming Console, Wi-Fi 5, Bluetooth 4.0 with U Deal HDMI (Renewed) [video game]",,4.5 out of 5 stars,4 ratings,Only 3 left in stock - order soon.
PlayStation 4 Slim 1TB Console - Only On PlayStation Bundle (Renewed) [video game],,4.5 out of 5 stars,7 ratings,Only 2 left in stock - order soon.
Newest Sony Playstation 4 Slim 1TB SSD Console - Marvel's Spider-Man PS4 Bundle with DualShock-4 Wireless Controller,,4.5 out of 5 stars,337 ratings,Only 4 left in stock - order soon.
"Sony Playstation 4 500GB white, 9466314 (Renewed)",,4.5 out of 5 stars,40 ratings,Only 1 left in stock - order soon.
PlayStation 4 Slim 500GB Console [Discontinued] (Renewed),,4.5 out of 5 stars,"1,420 ratings",Only 6 left in stock - order soon.
Sony PlayStation 2 Console - Black (Renewed),,4.4 out of 5 stars,"1,490 ratings",In Stock
Sony PlayStation 4 Slim Limited Edition 1TB Gaming Console (Renewed),,4.5 out of 5 stars,"1,476 ratings",Only 4 left in stock - order soon.
PlayStation 4 Slim 500GB Console [Discontinued] (Renewed),,4.5 out of 5 stars,"1,420 ratings",Only 6 left in stock - order soon.
PlayStation 4 500GB Console (Renewed),,4.5 out of 5 stars,"1,341 ratings",Only 1 left in stock - order soon.
"Sony PlayStation 4 Pro w/ Accessories, 1TB HDD, CUH-7215B - Jet Black (Renewed)",,4.5 out of 5 stars,"1,009 ratings",Only 4 left in stock - order soon.
Xbox 360 250GB Slim Console - (Renewed),,4.4 out of 5 stars,835 ratings,In Stock
Sony Playstation 3 160GB System (Renewed),,4.5 out of 5 stars,588 ratings,In Stock
"Playstation SONY 4, 500GB Slim System [CUH-2215AB01], Black, 3003347 (Renewed)",,4.5 out of 5 stars,469 ratings,Only 1 left in stock - order soon.
"RIG 600 PRO HS Dual Wireless Multiplatform Gaming Headset with Bluetooth for PlayStation PS4, PS5, Nintendo Switch, PC, USB & Mobile",,4.5 out of 5 stars,36 ratings,In Stock
"Dliaonew Wireless Controller for PS4, 2 Pack Remote Control Compatible with PS4/Slim/Pro with Dual Vibration/Audio/Six-axis Motion Sensor/Game Joystick - Camo Red + Camo Green",,4.7 out of 5 stars,351 ratings,In Stock
